,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
10,"(64, 32)",0.005987474910461402,3.972110727381908e-05,0.7856221696983823,0.044177617334871806,0.6602265348820431,0.042648329293954686,0.7153891336523326,0.01931536294827459,0.9489956399020351,0.015984916491383082,0.9103072138020429,0.009336866698652146
11,"(256,)",0.010988100318524607,1.3783237455007187e-05,0.7868941862901285,0.010725549732188656,0.6771012192482505,0.034614965792248355,0.7273062953892884,0.019169896048066147,0.949320725291863,0.004755043099587341,0.9142992489695485,0.008191102353914717
12,"(128,)",0.07025166339242159,0.0002246455168053261,0.7852083498251863,0.03985715405755512,0.6770795757881827,0.036823661650300675,0.7251925017900137,0.007712982690033126,0.9476705874600508,0.014630791269985417,0.914235744276589,0.007818593408482476
13,"(128,)",0.0014330109455635695,0.00788671412999049,0.821553256301099,0.03772407217929291,0.641021571315201,0.036435954894231064,0.718907351728735,0.02370646201582094,0.9609123257882771,0.011314286121644358,0.9066710719842535,0.00803411640189923
14,"(128,)",0.01129013355909268,1.116602913398134e-05,0.7562813797537793,0.05023679607723983,0.7251857730322487,0.03922041809817135,0.7381851827353605,0.01934493025111956,0.9337622044303867,0.020448250690891248,0.9250882882752126,0.009012999881683305
15,"(64, 32)",0.0030586566669785274,0.00020914981329035596,0.7624832560707888,0.024936031757778688,0.7021932039535387,0.03644641573794715,0.7304340429495623,0.0228993084089267,0.9393825574116175,0.008426283611433657,0.919689252104517,0.008685383736310377
16,"(256, 128)",0.0014899847475658245,1.2681352169084594e-05,0.7461212639409092,0.0173357774050453,0.7502705432508477,0.03426943449249864,0.7477495422678533,0.02003081813111653,0.9294482334464543,0.006820652678637064,0.931086489284553,0.008662222116165899
17,"(64, 32)",0.0008612579192594886,3.521342459487091e-05,0.7830759655567703,0.008931825397940841,0.7094798355097034,0.051211811057897426,0.743381448544783,0.027450204811737672,0.9456783411859027,0.0056687851878150985,0.9220897629825936,0.01233278048046215
18,"(128,)",0.005047786565710607,0.00036324869566766035,0.7937411856349081,0.02013088165711839,0.6771300771950075,0.022047612967641468,0.7305252378093553,0.016002918480100835,0.9513052837358462,0.006188279214517751,0.9143929782166198,0.005500009563337975
19,"(128,)",0.021154290797261225,1.2414804282743951e-05,0.7602258374714688,0.03492505388865872,0.7083038741793521,0.026557980708210447,0.7321275549867374,0.007797813341329696,0.9374001954905384,0.014773240011111792,0.921039748430702,0.005723425640727014
20,"(256, 128)",0.06025271171095385,0.006584106160121612,0.61835925963051,0.3121233916708312,0.5382295649664526,0.29906859922094,0.5636094362185443,0.2911435184386781,0.9532892930491034,0.030799766603298258,0.8884110381380138,0.05910944625058015
21,"(256, 128)",0.0003872118032174585,0.0015199034037054083,0.7938778254763179,0.02895257356254257,0.7131592237212322,0.02904062015671074,0.7503686204968547,0.009460396561378735,0.9483295443313235,0.01027092016725037,0.9230605658603942,0.006776337951706672
22,"(128, 64)",0.001465655388622534,1.3667272915456215e-05,0.7950462344816962,0.050995448929897644,0.6818194935430344,0.0518850093239122,0.7305500007440467,0.008719316473833623,0.9493174305075065,0.019784434566286445,0.9157251508134268,0.011151116677947923
23,"(128, 64)",0.005757759187507044,6.516990611177177e-05,0.7709556056575847,0.04833638211888446,0.6997402784791862,0.059467689985836084,0.7301317304384197,0.02462869149246092,0.940709806376506,0.01885673003630067,0.9194904898009668,0.013085539738879695
24,"(64, 32)",0.004247058562261873,0.007866216981266844,0.7946405096970585,0.02716258521872034,0.7106702258134334,0.00997443944350387,0.7500038646025969,0.01209252183056476,0.9489928942484047,0.00901734261751584,0.9224149261135761,0.0022371900459251786
25,"(128, 64)",0.00016736010167825804,2.6471141828218167e-05,0.7697063748562547,0.017667774188315968,0.6818267080297237,0.04315795906612677,0.7224548237843417,0.028311806404637534,0.9436871931732067,0.005766255276608203,0.915033555249906,0.010244256394684797
26,"(64,)",0.00039459088111000007,0.009133995846860976,0.816176426399624,0.04352881707523146,0.6517134405887022,0.07353984443645493,0.721054312599806,0.041877288149969674,0.958267712211569,0.014852942003741548,0.9093382116559834,0.016669677038958556
27,"(256,)",0.0003949364447222334,1.0388823104027935e-05,0.8010055697909386,0.028577048257538724,0.6878508044152658,0.021434185316951685,0.739872282947962,0.020431783532611037,0.9526330818314607,0.008152702682238028,0.9171049025263092,0.005404968528254706
28,"(256,)",0.020597335357437203,0.00136152574640065,0.7640683558814813,0.024929916957623748,0.6877065146814804,0.06011469291362906,0.7226340336939686,0.038755897076361415,0.9413720580321352,0.008010393905756086,0.9164477117769557,0.014261794408820843
29,"(128,)",0.00022264204303769702,1.667761543019792e-05,0.7838629159164103,0.03944765240732005,0.6999783565399321,0.05125792723114376,0.7370161700847913,0.017449002394788332,0.9453505101424445,0.01709933943453387,0.9197892523734771,0.011897594282366262
30,"(64, 32)",0.0009833181933644897,0.0038842777547031426,0.8046876417860054,0.03990115749397855,0.680694033619508,0.026926397397169413,0.7369873967783365,0.02589856561133668,0.9539581342734452,0.01095271690256025,0.9154770478122767,0.006776284216485761
31,"(256, 128)",0.0009452571391072313,1.551225912648474e-05,0.7693988633206028,0.04344619910916194,0.7395353870572109,0.03819800302431032,0.7526508890333957,0.022806822575308236,0.9377329687105312,0.016561426068700726,0.9289713521213192,0.009190136834425029
32,"(256, 128)",0.04588156549160976,0.0015446089075047066,0.762698274500784,0.05224924897359175,0.6830892432003463,0.04879658005297478,0.7178557690506346,0.02606752680009278,0.9393847539345217,0.021523394767459996,0.9151114778113231,0.010699326327582066
33,"(128, 64)",0.08225007188121387,0.00026100256506134784,0.7801351444160334,0.04210308535353808,0.6614890700526657,0.07790121882714138,0.7112206394087663,0.03285775058594194,0.9466750134537028,0.01902467530206348,0.9108366900083855,0.017653352332060362
34,"(128, 64)",0.004828715216179213,0.003521611738205427,0.7760200994137488,0.07196739494026018,0.7010461005699444,0.08992537037548227,0.727721227780172,0.025664565318900733,0.9390464894072682,0.031173242681039836,0.9203114356765278,0.019743843555364154
35,"(256,)",0.0036999724314638123,0.002055424552015075,0.7712541030733251,0.030690306190877106,0.7011398888969049,0.04435398120149694,0.7337004815263004,0.030512606760323833,0.9423604933390444,0.009653142934134497,0.9196548709490753,0.01106185469465509
36,"(128,)",0.0020797422068521733,0.00019170041589170651,0.7951594849091222,0.035038008244053696,0.6757448957506674,0.04664979923366866,0.7285933505269344,0.02173193002180326,0.9509769035616618,0.01314619123341273,0.9142578718120198,0.010078135825247794
37,"(64,)",0.0008771380343280567,4.0286320828596234e-05,0.8179036704280189,0.03557760141253338,0.6770362888680471,0.07342904197925358,0.7373257157394211,0.03425245793602927,0.9572743347281254,0.013819739239666182,0.9153630668595085,0.0172163542089692
38,"(256, 128)",0.0002618149026594374,0.0003355151022721483,0.8180227297225111,0.02978936638342983,0.6999350696197965,0.026221246153427368,0.7536529219685636,0.014866461275349291,0.9566093374188659,0.00938396057799508,0.920402392713946,0.006212203553064308
39,"(256,)",0.0004066152607618115,0.0006505072449557182,0.8054477075311844,0.0326322837535817,0.6782122501983985,0.028747132305273215,0.7355621630731588,0.01922559727191085,0.9542903583627119,0.0101808002841782,0.9149600693825661,0.006396470519788063
40,"(256,)",0.01214380539778398,0.006738460883888427,0.7821648475630586,0.030750757486337727,0.6926845104970781,0.01900295793954262,0.7342411094816461,0.016306783169701328,0.9463433384951621,0.010169649398147865,0.9177906609937218,0.004586122608347202
41,"(128,)",0.026568139241144935,0.004379288100052082,0.7577307519825484,0.01279699770712849,0.6926123656301855,0.06140374862637356,0.7220224214573954,0.0343541068993789,0.9387203057559883,0.007632506102261462,0.917474680781367,0.014205759461718325
42,"(256, 128)",0.0023420907100434145,0.000794714742465374,0.7774905362532109,0.05328396396244384,0.7093066878291611,0.10634960353822455,0.7332035339005883,0.04901722046772161,0.9407141994223144,0.022844759141148172,0.9226207386132705,0.02370673815687213
43,"(64, 32)",0.04760767751809503,4.5219037252571255e-05,0.7879512222121442,0.0145698785305539,0.6710554794026404,0.02944396332478036,0.7242567837839101,0.015255433224461188,0.9499835260782182,0.005866727386373777,0.9128734182693116,0.006678716257918532
44,"(128,)",0.00023241484492975777,0.0004149795789891589,0.7857499072632335,0.04051614418222295,0.7071711997691364,0.045244107016866895,0.7424911708189923,0.021463817450051163,0.9456799885780809,0.015782513550541586,0.9215003152476147,0.010702025585056332
45,"(256, 128)",0.0002138729075414894,0.00011719079872167656,0.7928995827594421,0.020730915872385874,0.7275376956929516,0.03531741706009224,0.7581108230756692,0.019653405803871014,0.9473367159786058,0.007561761311455153,0.9265759777706126,0.008616313959354336
46,"(256, 128)",0.00010036011053920677,4.8284249748183215e-05,0.8083155300054814,0.0527675834147969,0.6734074020633433,0.0804893945353939,0.7295728608390555,0.0425879797039693,0.9539553886198149,0.017636477017584605,0.9142989007598974,0.017917067149696937
47,"(256,)",0.00010491954332267913,0.00011421064100297755,0.7982080018311972,0.020561808969614875,0.6625784575427459,0.047541989329584144,0.7230488760513537,0.030741690030275864,0.9536286558378088,0.0070145792152736764,0.9112387523380804,0.010886018164447255
48,"(64,)",0.0028476716659445486,0.0003405978543532997,0.8069236583522299,0.04766470354475155,0.6721953682995455,0.0635668156080234,0.7303430545797189,0.039475867263570295,0.954291456624164,0.016405182939050307,0.913766711255299,0.014214461654997448
49,"(128,)",0.0010300196600986776,0.0011948354480999254,0.7949855454027716,0.06433173841938236,0.6842940624774547,0.08586106067386619,0.728082426510934,0.02809289685033579,0.9473394616322363,0.028504229181637836,0.9167166488138967,0.01924448947502821
