,param_hidden_layer_sizes,param_learning_rate_init,param_alpha,param_solver,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_specificity,std_test_specificity,mean_test_npv,std_test_npv
10,"(128, 64)",0.00019634341572933326,0.00014330109455635691,adam,0.8704214533582656,0.031731666218236095,0.8892156862745096,0.01337076636959398,0.8791501862582901,0.011062974110097235,0.8542553191489363,0.044452303012289744,0.8770726860586116,0.008457511198625513
11,"(64, 32)",0.0315925539070175,0.0011214774784159462,adam,0.8789877363565626,0.02057086732508344,0.8705882352941176,0.03304372460069159,0.874245441941083,0.017119884642027225,0.8691489361702127,0.02597139492709297,0.8622147643722199,0.029787504951642153
12,"(128, 64)",0.009717775305059635,0.00534516611064682,sgd,0.8220566552141435,0.03799320358693421,0.8921568627450981,0.031157350160922925,0.8550822752804059,0.02689444003046505,0.7882978723404255,0.05269985564468439,0.8713423929781335,0.03526841561508086
13,"(128, 64)",0.004366473592979638,0.00018856783874794973,sgd,0.8346023373424429,0.025550299531200218,0.8107843137254902,0.03715155945391452,0.8222446398675818,0.028507690486665512,0.825531914893617,0.029017407865927356,0.8015991531226503,0.03430582869962028
14,"(128, 64)",0.021154290797261225,1.2414804282743951e-05,sgd,0.8238772540192771,0.037744627681963974,0.8696078431372548,0.04531066669918173,0.8454461769602712,0.03362025968023719,0.7968085106382979,0.04925888043740522,0.8508224985105939,0.047234037490817886
15,"(128, 64)",0.015199034037054086,0.00015326772391384085,adam,0.8682917992928578,0.024737387466326775,0.9225490196078432,0.02265533334959087,0.8941194092802285,0.011782081329857017,0.8468085106382979,0.03453762357605941,0.9107191853442407,0.021680234821259498
16,"(256, 128)",0.0036517646487517572,1.8427970406864546e-05,sgd,0.7945914800481599,0.03661644857915146,0.8166666666666668,0.031707767899600454,0.8042350023032124,0.01514089848866102,0.7670212765957448,0.06124186367925215,0.795128344191569,0.019349567501261333
17,"(64, 32)",0.0006516990611177178,9.46217535646148e-05,lbfgs,0.9010773599645887,0.014739913560700712,0.9098039215686274,0.01823634827229244,0.905335372313092,0.014069966931926097,0.8914893617021276,0.017021276595744685,0.9013151654374761,0.018597796476207528
18,"(64, 32)",0.0006963114377829289,0.0005757759187507043,lbfgs,0.8893945279751634,0.02403492695498472,0.903921568627451,0.02047118923315793,0.8965008740568198,0.020230102702967115,0.8776595744680851,0.02794452241822064,0.8938968738792111,0.02247609052266512
19,"(256, 128)",0.0003131849018141121,2.6471141828218167e-05,lbfgs,0.8989799850070469,0.014784839158711312,0.9058823529411765,0.01818356567744256,0.9023137978313203,0.013346419651849335,0.8893617021276595,0.017285188094970115,0.89727763727826,0.01840963875028475
20,"(64, 32)",0.00039459088111000007,0.009133995846860976,adam,0.8546778262700568,0.05353235982551851,0.8529411764705882,0.0475262731119248,0.8531615469017062,0.04556751444913751,0.8404255319148936,0.06643614891913191,0.8407944828154508,0.04802932212150403
21,"(64, 32)",0.013615257464006516,0.0027950159165083337,adam,0.901695851133646,0.023508753574306443,0.9098039215686274,0.014408763192842242,0.9054642317935995,0.011728096259636032,0.8914893617021276,0.02905638358244184,0.9013735464107713,0.013627332840479182
22,"(64, 32)",0.06010389754773892,0.0020597335357437196,sgd,0.8754126203729615,0.020949068404684103,0.9137254901960784,0.02373278124884353,0.8939861845044584,0.018686355608794353,0.8585106382978722,0.02618836941508758,0.9020687206522053,0.02492930597521057
23,"(256, 128)",0.03549079546095973,2.2264204303769678e-05,sgd,0.9171334377570182,0.019876731940463882,0.8813725490196077,0.062499519413761646,0.89702793077415,0.026350644740300633,0.9117021276595745,0.02866424167086698,0.8809128702536881,0.05152011433275442
24,"(256, 128)",0.0008569331925053991,1.932993303381966e-05,lbfgs,0.8951574476905776,0.015517071373008604,0.9107843137254902,0.014997116216449396,0.9028261652003422,0.012785275291867584,0.8840425531914893,0.01854850614272629,0.9014418337334696,0.015663016363009156
25,"(128, 64)",0.04588156549160976,0.0015446089075047066,lbfgs,0.9006525582619925,0.017730902555813402,0.9107843137254902,0.006503185863441938,0.9055402845883676,0.006980388698304328,0.8904255319148936,0.022964928877577562,0.9020418425743504,0.004890531042400739
26,"(256, 128)",0.013795402040204185,0.0001408577102296381,lbfgs,0.8980816059446877,0.008364613636066344,0.9068627450980393,0.013513773286362947,0.9024084729103979,0.009303096681933784,0.8882978723404256,0.009515182882977842,0.8980075487965877,0.01371605764627666
27,"(256, 128)",0.020554245520150755,0.0014628121654892817,adam,0.8908252778281212,0.016912892730165947,0.9166666666666666,0.021479315980594754,0.9033411684984307,0.012824793215731541,0.8776595744680853,0.021276595744680868,0.9071986076092411,0.022206448955419657
28,"(256, 128)",0.0019170041589170674,1.3222110082400286e-05,sgd,0.8015376680554864,0.032045217517421946,0.8107843137254902,0.019010509244769946,0.8055128083012285,0.015144977250639758,0.7797872340425532,0.04996603645028671,0.7916916165734429,0.013911532949201432
29,"(256, 128)",0.000124247470836602,0.0002079742206852173,adam,0.8610697720859172,0.030293097644434133,0.8598039215686274,0.04391018760109548,0.8603464421608518,0.03668311806061632,0.85,0.030351792803589617,0.8490422167838547,0.04442850187882385
30,"(64, 32)",0.003355151022721484,0.0002667538336169917,sgd,0.8067888118057169,0.03849027714886303,0.8450980392156863,0.03390513032507958,0.8246596819759713,0.025811157181290834,0.7776595744680851,0.05683281016677906,0.8231256810798268,0.030202724342316828
31,"(256, 128)",0.001702741688676441,2.618149026594371e-05,adam,0.9150916669759745,0.02429742282290563,0.8745098039215687,0.033477198194046806,0.893606526045704,0.01557472808861456,0.9106382978723404,0.030351792803589597,0.8712731689557474,0.027125479086428105
32,"(64, 32)",0.00017019223026554014,4.066152607618111e-05,adam,0.8286291615287267,0.024430013988670885,0.8588235294117647,0.04082482904638632,0.8428252363094965,0.02438875440152067,0.8063829787234041,0.033909313724487716,0.8420589553539983,0.03737543820720586
33,"(128, 64)",0.0074655557747457125,0.001214380539778398,sgd,0.8538122731755738,0.02252139863880947,0.8558823529411764,0.0418938443514147,0.8546690768751274,0.03150536145790389,0.8414893617021276,0.021645733988697673,0.8443949139287904,0.04003969664162288
34,"(128, 64)",0.0023420907100434145,0.000794714742465374,sgd,0.8252183506997961,0.026158316671458345,0.8039215686274511,0.024014605321403704,0.8143240262367696,0.02328311782287841,0.8148936170212766,0.02997660170979865,0.7930163785142611,0.024635608099810767
35,"(128, 64)",0.00023241484492975777,0.004465198567657797,lbfgs,0.9020553400872112,0.015256220002026238,0.9088235294117648,0.015376850138586392,0.905277056061568,0.01007150239488947,0.8925531914893616,0.019442198811167072,0.9005044547969338,0.014760900225293406
36,"(64, 32)",0.000655234487829567,8.995191735587162e-05,adam,0.8718215882977823,0.04156072939057355,0.8852941176470589,0.03404657912585361,0.8777447510618339,0.028543967315857944,0.8563829787234043,0.05393102917292158,0.8740268896032358,0.03147029457791865
37,"(64, 32)",0.03821129441691227,0.00019112758217777883,adam,0.8591806406769977,0.02371507202256488,0.8745098039215685,0.017427832190814885,0.8665142241682501,0.014108557559879904,0.8436170212765959,0.029825203763566337,0.8612985154804788,0.01668965980292093
38,"(256, 128)",0.001787446325623842,3.118656620551979e-05,lbfgs,0.9043404895682405,0.020010940696487567,0.903921568627451,0.0179708850782582,0.9039420535102242,0.013602361678932562,0.8957446808510638,0.023692614309914983,0.896060524310504,0.018116847357616147
39,"(128, 64)",0.0010300196600986776,0.0011948354480999254,adam,0.8727812199620496,0.02455006008019603,0.8872549019607844,0.05270462766947298,0.8797302835154095,0.03849173212942658,0.8606382978723405,0.022162411336169835,0.8774306801505611,0.052565760736584304
40,"(64, 32)",0.0016274532171685026,3.197960730603829e-05,sgd,0.8000526902094931,0.029988012726029908,0.8225490196078431,0.036604224907048,0.8108979552174091,0.030315643048130496,0.776595744680851,0.03607622331449611,0.8019540792602404,0.03585790639984985
41,"(128, 64)",0.01227192856327505,0.008228984573308165,adam,0.8732708664379277,0.01936993653846534,0.9058823529411765,0.027798915448544778,0.8888000696573922,0.011533224768308252,0.8563829787234042,0.027741286830649577,0.894737802845049,0.02735639728345627
42,"(64, 32)",0.09845129999868124,7.991621920384351e-05,adam,0.7778157969042139,0.13090191660021522,0.8990196078431373,0.05846294712108069,0.8228263669501701,0.07273429262619983,0.6574468085106383,0.33000336088937,0.6863624661706684,0.3444647468458238
43,"(128, 64)",0.001710452585899055,0.0006740513796374046,adam,0.8873149496269221,0.021139356274449343,0.9274509803921569,0.024685643749047387,0.9065481440508872,0.013185303171358681,0.8712765957446809,0.02940484034273459,0.9181577620309389,0.024931342846110507
44,"(64, 32)",0.007999337750743449,6.853925708853055e-05,sgd,0.8203255223061223,0.02673693141386894,0.8607843137254901,0.056199649599868645,0.8391207385897518,0.03349771863806763,0.7946808510638298,0.038445342552324784,0.8435352888461539,0.05180836910453514
45,"(128, 64)",0.09056311714376349,2.7207248059486674e-05,adam,0.8148316782920345,0.043060346073511134,0.8784313725490197,0.053194744965688386,0.8450964344159628,0.0448870411638077,0.7829787234042553,0.05248466546188942,0.8571483601144619,0.05866669119649927
46,"(256, 128)",0.0012851782533197052,0.001038500337992742,lbfgs,0.9013419077991353,0.011471202044476868,0.903921568627451,0.011846123503524078,0.9025920760524935,0.010084108900906056,0.8925531914893616,0.013201780474458333,0.8954862293853646,0.0122030066322374
47,"(64, 32)",0.007887102624766478,0.0015298506868937445,sgd,0.8157477726759567,0.03179846238000468,0.8774509803921567,0.03324671560355521,0.8451713043360133,0.028574726983626744,0.7840425531914894,0.0426329040627955,0.8554566854042752,0.03601199542128996
48,"(256, 128)",0.00018658181360124853,0.00015720752387932209,lbfgs,0.9035733853455403,0.013190403898143127,0.9078431372549021,0.014673166222642899,0.9056126416631972,0.010470192879193308,0.8946808510638299,0.015562488125880647,0.899670719100523,0.014950710957042895
49,"(256, 128)",0.0003627066608804413,2.832387257533894e-05,lbfgs,0.8975180102408693,0.013743824555130082,0.9088235294117648,0.015061070093859997,0.9030604127984633,0.011779378460662371,0.8872340425531915,0.016273466532742958,0.8998471402350494,0.015604000262076692
50,"(256, 128)",0.00045784992006114736,0.0037590353898082703,sgd,0.7583792743375829,0.05100514006450735,0.8323529411764705,0.020658144613436746,0.7922217679399745,0.024529754153946474,0.7053191489361701,0.09055685082991669,0.7943838550709132,0.015376497920319102
51,"(256, 128)",0.0011117265099859666,0.0003437788661779579,adam,0.894481463997003,0.005662446662678291,0.9215686274509804,0.016695476829339594,0.9077089120638501,0.006908217606720683,0.8819148936170214,0.008510638297872316,0.9123999119908239,0.01629395944920046
52,"(64, 32)",0.0015585332185715406,3.3350264835699565e-05,adam,0.8921775921049448,0.012046963375150726,0.9137254901960785,0.02783346973838899,0.9024922853531738,0.012733713708422563,0.8797872340425531,0.016685518235487362,0.9048556439736414,0.026062705799745983
53,"(64, 32)",0.010643154121134481,0.006459367085984857,lbfgs,0.8938016229220922,0.01711483340588852,0.9127450980392157,0.0036682915556607134,0.9030887048691991,0.009022342649306916,0.8819148936170211,0.02138271408749126,0.9030178338668691,0.00430557647308491
54,"(256, 128)",0.004210599373265658,2.1898812429056927e-05,sgd,0.8282332415240132,0.04311558290204966,0.7931372549019609,0.030281265120550002,0.8096871761094502,0.029883958004762744,0.8191489361702129,0.055584470117502706,0.7848381838585761,0.03009030836471258
55,"(128, 64)",0.08841074088520717,5.940525755701928e-05,lbfgs,0.901983564529198,0.019351590255337385,0.9147058823529413,0.011004874666982165,0.9081067221065444,0.008853134117101986,0.8914893617021276,0.024858130735208366,0.9061491263776713,0.009912249223513568
56,"(128, 64)",0.04916400722913765,5.3156560571583175e-05,lbfgs,0.9051026387390355,0.01850002662980476,0.9107843137254903,0.015624879853440415,0.9077039471185401,0.009357414678685675,0.8957446808510638,0.023930259317451047,0.9028484581633915,0.014512596367119
57,"(256, 128)",0.0010401341922663464,0.004445381415737548,adam,0.9001509676793727,0.02476021747237014,0.8941176470588236,0.04119980664598175,0.8959750894976392,0.012919942941853209,0.8904255319148937,0.03254693306548586,0.8881627270353307,0.03398169335488201
58,"(256, 128)",0.03706575712110001,0.0012620410750629133,sgd,0.9075972469546766,0.019954126013942274,0.876470588235294,0.0667387153926177,0.8896255777135661,0.02767444314427956,0.901063829787234,0.029056383582441815,0.8757480933557676,0.054418365290536286
59,"(256, 128)",0.0641069304570007,0.002185881616232418,sgd,0.9041612421071296,0.015730609022362837,0.907843137254902,0.030597032420249467,0.9054323535417238,0.008927866019948997,0.8946808510638297,0.021905596044653176,0.9009495118107866,0.027804579612583334
60,"(128, 64)",0.00010655924993232583,0.0010161662443413278,sgd,0.5286896373828395,0.010000372524251181,0.8990196078431373,0.011433239009500589,0.6657602389542792,0.00905904478830722,0.12978723404255318,0.03374202452585895,0.5354883663058355,0.060139574035623276
61,"(64, 32)",0.00010355826161899185,0.0066130274797487195,sgd,0.519770254572028,0.008653348160831336,0.8656862745098038,0.01686730444518164,0.6494984260062625,0.010197737374483424,0.1319148936170213,0.025487550107895614,0.47226311939426696,0.06099181527490506
62,"(128, 64)",0.0022144833991983447,0.00044279363365000874,lbfgs,0.9026334777765713,0.012602802413682125,0.9147058823529413,0.01537685013858637,0.9084543964685168,0.006232559025458594,0.8925531914893619,0.01695465686224386,0.906449426926096,0.014348801843359939
63,"(64, 32)",0.00011329900368822805,4.70769077431769e-05,sgd,0.5239129310150668,0.009817541982040632,0.8715686274509803,0.01764705882352945,0.6543993340181448,0.011723558278878148,0.14042553191489363,0.02553191489361702,0.49942475970444694,0.06971770886006924
64,"(256, 128)",0.014548552070164162,9.466710461838316e-05,lbfgs,0.9005384112036994,0.015761019265498822,0.903921568627451,0.016867304445181627,0.9021421908834636,0.013667422042852326,0.8914893617021276,0.017990994175838014,0.8954917319388533,0.01739929457022932
65,"(256, 128)",0.001268082208042942,0.00042424886748968307,adam,0.8989299171067977,0.020365175751384655,0.9274509803921569,0.01844596835512427,0.912722131701152,0.012824853020586224,0.8861702127659573,0.026617012772759144,0.9188389819546098,0.01797760778491031
66,"(128, 64)",0.08299112738466033,5.641381315708954e-05,lbfgs,0.8973307698916342,0.017647759518657345,0.9029411764705884,0.014002800840280084,0.899888675473583,0.006203096395947298,0.8872340425531915,0.02291559492397662,0.8942675198542153,0.01227513573747802
67,"(256, 128)",0.00200994001535904,0.0002885535747082005,lbfgs,0.8981358728254134,0.01678690266914601,0.9049019607843138,0.01506107009386,0.9013840678071146,0.011949535121676753,0.8882978723404256,0.020184751022351344,0.8961114870079747,0.015336331299089881
68,"(256, 128)",0.0030029844369151297,0.00032204108362516746,lbfgs,0.8993588041097353,0.011326316941559429,0.9009803921568628,0.017917320473036336,0.9000454217042648,0.01044215726553887,0.8904255319148936,0.013706488007154394,0.8926899072071552,0.017817654053183734
69,"(256, 128)",0.005200110803330441,4.904060335291484e-05,lbfgs,0.9009555738042628,0.017032939335842927,0.9068627450980392,0.01726158515848923,0.9037612209623032,0.012861943523630548,0.8914893617021276,0.02035226220181806,0.8984613350176346,0.017580783382409624
70,"(128, 64)",0.07274208264938348,1.3514852657379028e-05,lbfgs,0.9010991903521222,0.019042152510015314,0.9137254901960785,0.011433239009500582,0.9071250007486761,0.005332120302718424,0.8904255319148936,0.024629440218702597,0.9051853015079147,0.009458733319643052
71,"(64, 32)",0.07231286044841394,0.004471796861411278,lbfgs,0.8983143940031356,0.02100878582422384,0.9137254901960784,0.010093755040183325,0.905831378630411,0.012804615186452827,0.8872340425531915,0.025487550107895593,0.9045608912855936,0.010854729968501264
72,"(64, 32)",0.0052104760921559586,0.00019255395572015605,lbfgs,0.8930292432191548,0.019947821828424025,0.903921568627451,0.004999038738816438,0.8983029855761329,0.009387777829386115,0.8819148936170211,0.024583446826151795,0.8942893344904792,0.004575024539990891
73,"(64, 32)",0.001429858909444399,1.68282427447024e-05,adam,0.8867805056934219,0.02158333628911956,0.9137254901960785,0.03078493817275994,0.8994999428707514,0.014544471006423835,0.8723404255319149,0.029900998558628062,0.9045234078383249,0.029199660734780933
